case:concept:name,id_event,sort_order,time,text,concept:name,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,cumgoal,date,result,time:timestamp,@@index
16 Chelsea vs Everton,A79oxRzJ15,15,0:23:00,Attempt missed. Romelu Lukaku (Everton) left footed shot from outside the box misses to the right. Assisted by Kevin Mirallas.,패널티바깥쪽슈팅시도,키패스,원정팀,Everton,Chelsea,romelu lukaku,kevin mirallas,,,우측으로빗나감,비유효슈팅,0,패널티바깥쪽,왼발,패스,필드,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:23:10+00:00,758063
16 Chelsea vs Everton,A79oxRzJ16,16,0:24:00,Foul by Diego Costa (Chelsea).,파울,,홈팀,Chelsea,Everton,diego costa,,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:24:00+00:00,758064
16 Chelsea vs Everton,A79oxRzJ17,17,0:27:00,"Offside, Chelsea. Pedro tries a through ball, but Diego Costa is caught offside.",오프사이드,스루패스실패,홈팀,Chelsea,Everton,diego costa,,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:27:00+00:00,758065
16 Chelsea vs Everton,A79oxRzJ18,18,0:28:00,Foul by John Stones (Everton).,파울,,원정팀,Everton,Chelsea,john stones,,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:28:00+00:00,758066
16 Chelsea vs Everton,A79oxRzJ19,19,0:32:00,Diego Costa (Chelsea) wins a free kick in the attacking half.,공격지역프리킥시도,,홈팀,Chelsea,Everton,diego costa,,,,,,0,공격지역,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:32:00+00:00,758067
16 Chelsea vs Everton,A79oxRzJ20,20,0:36:00,John Stones (Everton) wins a free kick in the attacking half.,공격지역프리킥시도,,원정팀,Everton,Chelsea,john stones,,,,,,0,공격지역,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:36:00+00:00,758068
16 Chelsea vs Everton,A79oxRzJ21,21,0:36:00,"Corner,  Everton. Conceded by Pedro.",코너킥,,원정팀,Everton,Chelsea,pedro,pedro,,,,,0,,,없음,,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:36:10+00:00,758069
16 Chelsea vs Everton,A79oxRzJ22,22,0:37:00,Foul by Nemanja Matic (Chelsea).,파울,,홈팀,Chelsea,Everton,nemanja matic,,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:37:00+00:00,758070
16 Chelsea vs Everton,A79oxRzJ23,23,0:38:00,Gareth Barry (Everton) wins a free kick in the defensive half.,수비지역프리킥시도,,원정팀,Everton,Chelsea,gareth barry,,,,,,0,수비지역,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:38:00+00:00,758071
16 Chelsea vs Everton,A79oxRzJ24,24,0:38:00,Hand ball by Ross Barkley (Everton).,핸드볼,,원정팀,Everton,Chelsea,ross barkley,,,,,,0,,,없음,,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:38:10+00:00,758072
