id_odsp,event_team,cumgoal
lY7vDKc3/,Nice,3
lY7vDKc3/,Bordeaux,0
M5CtOZ1P/,Valencia,1
M5CtOZ1P/,Mallorca,1
nBMzdO64/,Bayern Munich,4
nBMzdO64/,Hertha Berlin,0
pnGG8acC/,Internazionale,1
pnGG8acC/,Catania,2
rX0mBbSF/,Toulouse,0
rX0mBbSF/,Marseille,0
tIwdgMjN/,Mainz,0
tIwdgMjN/,FC Augsburg,1
UHCoQ0Sn/,AC Milan,3
UHCoQ0Sn/,Palermo,0
vJhtjcjj/,St Etienne,2
vJhtjcjj/,Evian Thonon Gaillard,1
6eHC9ur6/,Siena,0
6eHC9ur6/,Cagliari,0
6wlDIDPn/,Real Sociedad,0
6wlDIDPn/,Real Zaragoza,2
bZLFVM4P/,Genoa,0
bZLFVM4P/,Lecce,0
E3iLGifa/,Levante,3
E3iLGifa/,Malaga,0
fLs0ht6T/,Hamburg SV,2
fLs0ht6T/,SC Freiburg,1
hCJO6wSO/,Chievo Verona,0
hCJO6wSO/,Juventus,0
jiTVnKTj/,FC Cologne,2
jiTVnKTj/,Hannover 96,0
jsdn0W9I/,Sporting Gijon,1
jsdn0W9I/,Sevilla,2
jX0fOvca/,Bologna,2
jX0fOvca/,Novara,0
OYpUEVOB/,Espanyol,1
OYpUEVOB/,Rayo Vallecano,0
QBC5daDM/,Paris Saint-Germain,3
QBC5daDM/,AC Ajaccio,1
Qq0FALSa/,Atalanta,0
Qq0FALSa/,Udinese,0
v9FK7JCI/,Fiorentina,0
v9FK7JCI/,Cesena,0
WdcqCvD9/,Stade Rennes,2
WdcqCvD9/,Lorient,0
xf0iAIsM/,Sochaux,0
xf0iAIsM/,Valenciennes,3
OEb8JgAt/,Athletic Bilbao,3
OEb8JgAt/,Osasuna,1
dfP9bcDd/,FC Augsburg,1
dfP9bcDd/,Werder Bremen,1
06djNeRR/,Sochaux,1
06djNeRR/,Evian Thonon Gaillard,1
0d5W4d5q/,Brest,1
0d5W4d5q/,Bordeaux,1
0npZ4azT/,Nurnberg,2
0npZ4azT/,VfB Stuttgart,2
2eW00Jrp/,SC Freiburg,0
2eW00Jrp/,Kaiserslautern,1
2PqYDkvI/,Barcelona,0
2PqYDkvI/,Sevilla,0
8AUBTUw5/,Malaga,0
8AUBTUw5/,Real Madrid,4
dnqxD9gO/,Sporting Gijon,2
dnqxD9gO/,Granada,0
EFy0Ntjc/,Hertha Berlin,0
EFy0Ntjc/,Mainz,0
hxP98sy4/,Borussia Dortmund,5
hxP98sy4/,FC Cologne,0
hzAZQwS2/,Marseille,2
hzAZQwS2/,AC Ajaccio,0
